PIVlab, ASCII chart output - 05-Dec-2023
FRAME: 13034, filenames: A: 013033_013033.png & B: 013034_013033.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px]	y [px]	u [px/frame]	v [px/frame]	Vector type [-]
9	9	-2.953367472	-0.9707924724	2
9	17	-2.985296249	-1.05805099	2
9	25	-2.817032576	-1.320482373	2
9	33	-2.423140526	-1.248974085	2
9	41	-1.361976504	-0.8209698796	2
9	49	-0.6161065698	-0.6329903603	2
9	57	-0.4329144955	-1.116559148	2
9	65	-0.8651242256	-2.193747759	2
9	73	-2.621770382	-4.078172684	1
9	81	-2.479295492	-1.421313524	1
9	89	-2.465140104	-0.319195509	1
9	97	-2.492963791	-1.443744779	1
9	105	-2.550222874	-2.346009016	1
9	113	-2.582355261	-2.090245724	1
9	121	-2.496242046	-1.386893511	1
9	129	-2.352207184	-0.8837001324	1
9	137	-2.357302666	-1.06639421	1
9	145	-2.525649071	-1.782377958	1
9	153	-2.67688179	-2.271607399	1
9	161	-2.741694689	-2.322327375	1
9	169	-2.772531509	-2.287341595	1
9	177	-2.87330389	-2.28614378	1
9	185	-3.184165716	-2.187270403	1
9	193	-1.050191164	-3.609244585	2
9	201	-0.3460608423	-4.066757202	2
9	209	-0.344704479	-4.046027184	2
9	217	-1.048040867	-3.598851442	2
9	225	-3.191466331	-2.30749011	1
9	233	-3.142078161	-2.330498934	1
9	241	-3.329933405	-2.227535009	1
9	249	-3.411309242	-1.925645471	1
9	257	-3.279857159	-1.593208075	1
9	265	-3.072095156	-1.622528076	1
9	273	-2.736195087	-1.986953735	1
9	281	-2.044804573	-2.244089603	1
9	289	-1.308414698	-2.249423981	1
9	297	-1.346117258	-2.173720121	1
9	305	-2.12891531	-2.172235489	1
9	313	-2.783022881	-2.363290071	1
9	321	-3.019015074	-2.68762207	1
9	329	-3.158417702	-2.91785264	1
9	337	-3.289477825	-3.007356644	1
9	345	-3.245438099	-3.096098423	1
9	353	-2.970816135	-3.290063381	1
9	361	-2.534150839	-3.638319254	1
9	369	-2.04203105	-2.848974705	1
9	377	0.3432687521	-1.481617093	2
9	385	2.12310195	-1.10253191	1
9	393	4.241435051	-2.967253447	1
9	401	4.734719753	-2.65747714	1
9	409	3.70835495	-1.617537975	1
9	417	2.775447369	-1.978750348	1
9	425	1.812675476	-2.611796141	1
9	433	1.598186016	0.1775789261	1
9	441	2.425854206	1.619697809	1
9	449	3.234867096	1.356786013	1
9	457	2.941710472	-0.1508370638	1
9	465	1.838505745	-1.975351691	1
9	473	0.7773244381	-3.010356665	1
9	481	-1.096252918	0.3283499479	1
9	489	-0.001315236092	0.3019293547	1
9	497	2.941067696	1.274186373	1
9	505	2.415803909	0.7888112068	1
9	513	2.786710262	1.180017829	1
9	521	1.006682634	-1.6238904	1
9	529	0.189989388	2.180191517	1
9	537	0.306106329	1.656722188	1
9	545	0.8798841238	1.241215229	1
9	553	1.148146629	0.1021738648	1
9	561	1.057546616	-1.960169315	1
9	569	1.064394236	1.03587389	1
9	577	1.134767771	0.6885697842	1
9	585	1.025055766	0.3349060416	1
9	593	0.7759401798	-0.2828663588	1
9	601	0.9362235069	0.7552034855	1
9	609	1.495462894	2.264818668	1
9	617	1.382688999	3.716300249	1
9	625	1.221389055	3.806979418	1
9	633	0.7243871689	2.488499165	1
9	641	0.8794772625	0.785217762	1
9	649	1.094362736	0.6576296687	1
9	657	1.026245713	0.7566641569	1
9	665	0.9623525143	0.9896434546	1
9	673	0.8270150423	0.8054056168	1
9	681	1.033336639	1.442932844	1
9	689	1.073361158	1.376996875	1
9	697	0.9182882905	2.219594955	2
9	705	0.7777541876	3.138240814	1
9	713	0.8435484171	2.283438444	1
9	721	1.339426637	3.602434158	1
9	729	1.323404789	5.525619507	1
9	737	0.9951722622	8.425311089	1
9	745	0.932718873	6.68108511	1
9	753	0.8215044737	4.486314774	1
9	761	1.09052372	3.585129261	1
9	769	1.081939697	0.9380192757	1
9	777	1.335164547	1.10635376	1
9	785	0.8372020721	1.041084528	1
9	793	0.8946638107	1.345756769	1
9	801	1.012862206	2.402971029	1
9	809	1.064656854	3.532406807	1
9	817	0.9802582264	4.643874168	1
9	825	0.9294614792	4.683076859	1
9	833	0.8403517008	4.407840729	2
9	841	1.076650143	4.060689449	1
9	849	1.23871994	4.68828392	1
9	857	1.295227051	4.671348572	1
9	865	0.6284487247	4.774504662	1
9	873	0.1778598428	7.066865921	1
9	881	0.3219932318	5.847153664	1
9	889	0.9021668434	6.373718739	1
9	897	1.12421608	5.125851631	1
9	905	1.1144135	6.130952835	1
9	913	0.9525690079	10.38291931	1
9	921	2.109518528	11.33328819	1
9	929	5.380805492	10.75764751	1
9	937	3.848853588	10.75671005	2
9	945	3.362084627	10.66014767	2
9	953	3.537486553	10.55656433	2
9	961	4.926850796	9.930841446	1
9	969	3.31435442	9.652469635	2
9	977	6.075548172	9.674366951	1
9	985	4.800776005	10.01582336	2
9	993	5.857862949	10.67808056	2
9	1001	10.96883297	11.86058807	1
9	1009	7.365369797	9.14944458	2
9	1017	7.713290215	7.257611275	2
9	1025	10.9942627	6.505576611	1
9	1033	12.97753143	6.164664745	1
9	1041	9.909911156	7.456634521	2
9	1049	13.03846645	7.826934338	1
9	1057	13.47805023	7.927569866	1
9	1065	11.00494766	8.661784172	2
9	1073	18.79886818	9.597269058	1
9	1081	11.66881561	7.801206589	2
9	1089	12.3713932	6.629685402	1
9	1097	12.93002129	6.249920368	1
9	1105	8.851783752	5.243547916	2
9	1113	6.211454391	3.725993156	2
9	1121	2.710952044	1.197587967	2
9	1129	0.807911396	-1.703481197	1
9	1137	2.210192204	-0.8061840534	1
9	1145	2.384113312	-0.5798311234	2
9	1153	3.051167965	0.3374793828	2
9	1161	3.58093667	0.9826846719	2
9	1169	3.525550127	1.312040448	2
9	1177	3.198046923	1.815920949	2
9	1185	1.932809114	3.384629011	2
9	1193	1.364866138	3.745228291	2
9	1201	2.747761726	4.090639591	2
9	1209	7.064357281	4.707489014	1
9	1217	7.355462074	1.568103909	2
9	1225	13.00427055	-2.440812588	1
9	1233	10.9958992	-2.779273033	1
9	1241	10.45630264	-4.904610634	1
9	1249	9.815038681	-5.584994316	1
9	1257	5.244690418	-3.189937115	2
9	1265	2.965709686	-2.082759857	1
9	1273	-0.5276708603	-0.4989891052	1
9	1281	0.1561222076	0.5378983021	1
9	1289	2.47508955	3.511961699	1
9	1297	3.863384485	4.558095455	2
9	1305	4.004264832	7.320843697	1
9	1313	2.011728525	4.119176865	1
9	1321	-0.1412100792	1.043879867	1
9	1329	-0.2272194922	-0.6048868895	1
9	1337	-0.02818518877	-1.525092721	1
9	1345	-0.1411595345	-2.005363703	1
9	1353	-0.1697005033	-1.604209661	1
9	1361	-0.0802975595	-0.3963443637	1
9	1369	0.08461533487	-0.05174326897	1
9	1377	0.09900820255	0.8826611042	1
9	1385	0.1373661757	0.09638094902	1
9	1393	0.1792071462	0.03045558929	1
9	1401	0.1154652238	-0.1991624236	1
9	1409	0.004182852805	0.2549019456	1
9	1417	-0.1665694714	0.3531111479	1
9	1425	-0.1779205501	0.2593945861	1
9	1433	-0.1161039621	1.132533073	1
9	1441	-0.0007297024131	0.1165838689	1
9	1449	0.0504777506	0.1661933064	1
9	1457	0.08442869782	0.1871058494	1
9	1465	0.02481959015	0.3916798532	1
9	1473	-0.01136170793	0.3120127916	2
9	1481	-0.04007153958	0.241688773	1
9	1489	-0.03133381903	-0.06042793393	1
9	1497	-0.01284574345	-0.1829347163	1
9	1505	0.03450646251	-0.4550444186	1
9	1513	0.09091845155	-0.003766033798	1
9	1521	0.07304055244	0.1686799526	1
9	1529	0.05693551153	0.5409755707	1
9	1537	0.06386062503	0.3731974661	1
9	1545	0.08772870898	0.2387272716	1
9	1553	0.05057610199	0.4915593863	1
9	1561	-0.1315705776	2.096863747	1
9	1569	-0.3349197805	3.665063858	1
9	1577	-0.4836342335	2.135631084	1
9	1585	-0.2443987131	1.162158847	2
9	1593	-0.2384507209	0.204359442	2
9	1601	-0.4324755967	-0.3039577603	2
9	1609	-1.057850838	-0.8839837909	2
9	1617	-2.79858613	-2.18446064	1
9	1625	-1.051684022	-0.8463343382	2
9	1633	-0.4074850082	-0.3495270014	2
9	1641	-0.1748589873	-0.1269572377	2
9	1649	-0.08498581499	-0.06686158478	2
9	1657	-0.03431361541	-0.09399116039	2
9	1665	-0.00428422261	-0.04409818724	2
9	1673	0.01042376366	-0.04703268409	2
9	1681	0.0205849912	-0.03750798479	2
9	1689	0.03145163879	-0.02875224501	2
9	1697	0.03892639652	-0.03388638794	2
9	1705	0.03957565501	-0.03209553659	2
9	1713	0.03708583117	-0.02933040634	2
9	1721	0.03304778412	-0.02139346488	2
9	1729	0.02667200565	-0.01959114149	2
9	1737	0.009559419006	-0.03939710185	2
9	1745	-0.04090514407	-0.09645207226	2
9	1753	-0.1712680012	-0.2355713993	2
9	1761	-0.2792871594	-0.597784102	2
9	1769	-0.4796566069	-1.549852371	2
9	1777	-0.675100863	-2.775078773	2
9	1785	-0.250135541	-3.23851943	2
9	1793	-0.08658795059	-3.377609968	2
9	1801	-0.02247723565	-3.305343151	2
9	1809	0.0004978788202	-2.926597834	2
9	1817	-0.001515765209	-1.859366775	2
9	1825	-0.001137092244	-1.09895134	2
9	1833	-0.001659450587	-0.6685661077	2
9	1841	-0.004096729215	-0.4745851755	2
9	1849	-0.0084072873	-0.4635913372	2
9	1857	-0.01598414779	-0.6340777874	2
9	1865	-0.02851923183	-1.034433842	2
9	1873	-0.03934906796	-1.748642921	2
9	1881	-0.001661405084	-2.736078024	2
9	1889	0.01079760678	-2.994872332	2
9	1897	0.002650527982	-2.786628246	2
9	1905	-0.02136472799	-1.881799221	2
9	1913	-0.0747467801	-1.083730102	2
9	1921	-0.2117601335	-0.5466480851	2
9	1929	-0.5753563643	-0.5763915181	2
9	1937	-1.167223096	-0.872456789	2
9	1945	-2.078646183	-1.154488325	2
9	1953	-4.215805054	-1.834277034	1
9	1961	-3.084189177	-1.312780857	2
9	1969	-3.373051167	-1.361430049	1
9	1977	-3.574118137	-1.506016135	1
9	1985	-3.508410454	-1.483845115	1
9	1993	-3.476603508	-1.467026591	2
9	2001	-3.447756529	-1.435874701	1
9	2009	-3.476678371	-1.454217076	1
9	2017	-3.482034922	-1.455804944	1
9	2025	-3.475650072	-1.394354582	1
9	2033	-3.471473455	-1.223180294	1
9	2041	-3.486629486	-1.281592011	2
9	2049	-3.500094414	-1.27120018	2
17	9	-2.921438694	-0.8835339546	2
17	17	-3.185488701	-0.8828780055	1
17	25	-3.042660952	-1.654422045	1
17	33	-3.090412617	-1.605470181	1
17	41	-1.046682358	-0.5809451342	2
17	49	-0.0534286499	0.03855800629	1
17	57	0.1824872792	-0.5229394436	1
17	65	0.4593122005	-1.386511326	1
17	73	0.5434427261	-0.887627244	1
17	81	0.4908429384	-3.586787701	1
17	89	0.4747236967	-3.091816425	1
17	97	0.4824418426	-3.389810562	1
17	105	0.4800357223	-3.602080584	1
17	113	0.4690196514	-3.455488443	1
17	121	0.4704413414	-3.324731588	1
17	129	0.4814439416	-3.390978336	1
17	137	0.4814981818	-3.611653805	1
17	145	0.4687246084	-3.897094727	1
17	153	0.4585113525	-4.124183655	1
17	161	0.4556251168	-4.259608269	1
17	169	0.4533674717	-4.360044479	1
17	177	0.4434129596	-4.452873707	1
17	185	0.4163681269	-4.531579018	1
17	193	0.3796532154	-4.57370615	1
17	201	0.3567130566	-4.544999123	1
17	209	0.3599882126	-4.472473621	1
17	217	0.3920482993	-4.443037033	1
17	225	0.4319762588	-4.500091076	1
17	233	0.7816170454	-1.479910254	1
17	241	0.7578917742	-1.274863601	1
17	249	0.764893949	-1.467901111	1
17	257	0.7969198227	-1.412038922	1
17	265	0.8410927653	-1.429311991	1
17	273	0.9057564139	-1.436716795	1
17	281	1.024542689	-1.509205699	1
17	289	1.139082193	-1.392014265	1
17	297	1.112319231	-1.470384836	1
17	305	0.9748527408	-1.396571994	1
17	313	0.8939296603	-1.02697134	1
17	321	0.839242816	-1.36463654	1
